pubmed - breast cancer
year,count
2015,230
2014,18118
2013,17390
2012,16597
2011,14767
2010,13847
2009,12561
2008,12108
2007,11239
2006,10808
2005,10434
2004,10028
2003,9231
2002,8648
2001,8148
2000,8113
1999,7353
1998,7078
1997,6583
1996,6086
1995,5572
1994,5417
1993,4697
1992,4507
1991,3898
1990,3995
1989,3809
1988,3238
1987,2927
1986,2863
1985,2851
1984,2766
1983,2377
1982,2226
1981,2127
1980,2146
1979,1919
1978,1863
1977,1941
1976,1590
1975,1630
1974,1341
1973,1194
1972,1091
1971,1159
1970,985
1969,1064
1968,891
1967,865
1966,608
1965,610
1964,923
1963,617
1962,523
1961,425
1960,405
1959,443
1958,347
1957,443
1956,420
1955,454
1954,416
1953,345
1952,369
1951,248
1950,187
1949,195
1948,222
1947,183
1946,119
1945,37
1944,1
1943,1
1942,3
1941,2
1940,2
1939,6
1938,6
1937,5
1936,2
1935,6
1934,3
1933,3
1932,9
1931,2
1930,2
1928,2
1927,2
1926,4
1925,2
1924,1
1923,1
1922,3
1921,3
1920,2
1918,1
1917,1
1916,1
1914,2
1912,1
1910,1
1909,1
1908,4
1907,1
1906,1
1905,2
1904,1
1902,4
1900,3
1899,2
1898,4
1897,1
1895,1
1894,2
1893,1
1881,1
1870,2
1868,1

