pubmed - tumor cells
year,count
2015,485
2014,38189
2013,51796
2012,49606
2011,45196
2010,43319
2009,40549
2008,38553
2007,37260
2006,35796
2005,35367
2004,34631
2003,32364
2002,30447
2001,29861
2000,28430
1999,26847
1998,25724
1997,24730
1996,23872
1995,22787
1994,22149
1993,20588
1992,19400
1991,17956
1990,17807
1989,16940
1988,14637
1987,13748
1986,13316
1985,12877
1984,12155
1983,10983
1982,9717
1981,9085
1980,8564
1979,7759
1978,7128
1977,6740
1976,6410
1975,6529
1974,5750
1973,5121
1972,4374
1971,3671
1970,3129
1969,2709
1968,2213
1967,1943
1966,1478
1965,1344
1964,1385
1963,979
1962,580
1961,477
1960,402
1959,337
1958,289
1957,285
1956,264
1955,262
1954,216
1953,204
1952,139
1951,123
1950,99
1949,63
1948,55
1947,57
1946,26
1945,11
1944,6
1943,1
1942,2
1941,5
1940,4
1939,3
1938,1
1937,2
1936,3
1935,4
1934,4
1933,2
1932,3
1931,4
1929,1
1928,2
1927,4
1926,1
1925,1
1924,2
1923,6
1919,3
1918,1
1916,2
1915,2
1914,4
1913,6
1912,4
1911,2
1910,1
1908,1
1907,2
1906,1
1901,1
1852,1

