pubmed - tumor collagen
year,count
2015,6
2014,835
2013,1058
2012,1045
2011,1004
2010,925
2009,928
2008,925
2007,921
2006,888
2005,971
2004,931
2003,831
2002,772
2001,734
2000,663
1999,610
1998,585
1997,602
1996,544
1995,549
1994,552
1993,485
1992,498
1991,412
1990,407
1989,354
1988,283
1987,247
1986,280
1985,260
1984,260
1983,188
1982,207
1981,157
1980,156
1979,153
1978,129
1977,106
1976,97
1975,106
1974,120
1973,86
1972,100
1971,62
1970,85
1969,78
1968,55
1967,46
1966,31
1965,26
1964,58
1963,40
1962,12
1961,3
1960,3
1959,6
1958,5
1957,6
1955,3
1954,3
1953,3
1952,2
1951,1
1950,3
1914,1

