pubmed - tumor environment
year,count
2015,17
2014,1960
2013,3016
2012,2832
2011,2527
2010,2453
2009,2179
2008,2146
2007,2044
2006,2001
2005,1898
2004,1933
2003,1621
2002,1584
2001,1509
2000,1415
1999,1279
1998,1250
1997,1243
1996,1183
1995,1140
1994,1057
1993,943
1992,881
1991,875
1990,905
1989,909
1988,710
1987,695
1986,770
1985,788
1984,703
1983,788
1982,744
1981,660
1980,675
1979,638
1978,579
1977,544
1976,534
1975,600
1974,561
1973,530
1972,503
1971,490
1970,396
1969,344
1968,349
1967,215
1966,149
1965,130
1964,167
1963,102
1962,26
1961,17
1960,18
1959,16
1958,13
1957,11
1956,10
1955,17
1954,19
1953,5
1952,3
1951,7
1950,8
1949,7
1948,5
1947,4
1946,2
1939,2
1935,1
1934,1

