pubmed - tumor stroma
year,count
2015,6
2014,934
2013,932
2012,899
2011,796
2010,761
2009,697
2008,648
2007,631
2006,579
2005,555
2004,606
2003,501
2002,457
2001,503
2000,419
1999,416
1998,417
1997,397
1996,422
1995,338
1994,349
1993,311
1992,281
1991,265
1990,253
1989,242
1988,180
1987,185
1986,179
1985,164
1984,165
1983,143
1982,114
1981,117
1980,101
1979,102
1978,83
1977,92
1976,72
1975,68
1974,16
1973,18
1972,16
1971,19
1970,12
1969,14
1968,21
1967,11
1966,11
1965,12
1964,13
1963,9
1962,5
1961,6
1960,4
1959,5
1958,8
1957,7
1956,8
1955,8
1954,9
1953,7
1952,5
1951,5
1950,3
1949,1
1944,1
1941,1
1940,2
1939,1
1936,1
1932,1
1914,2
1910,1

